tweet,autoridades,emojis,caixa_alta,hashtags,termos_tecnicos,repeticoes_pontuacao,verbos_primeira_pessoa,pronomes_primeira_pessoa
"• Lula confirma presença em debates: 'Vou passar repelente. Se Bolsonaro me morder, morre envenenado' : October 9, 2022 at 04:17PM :  #MayaLink #WikiLink — https://t.co/3gqzqdu0rp — (liked) @YouTube","Lula, Vou, Bolsonaro, October 9, Mayalink, Wikilink",,04:17PM,"#WikiLink, #MayaLink",,,gostei,me
"@GabeHellss De vdd eu tenho meus amigos que vão votar nulo. Entendo sua frustração, e acredite tbm estou. Votarei no Lula, cada um terá sua consciência como sempre foi, mas p mim bolsonaro é pior que Lula","@gabehellss, Lula, Lula",,,,,,tenho,"eu, mim"
"@Janaina37520371 @CarlaSv22 Pode tá cavando, mas ao mesmo tempo tá fazendo campanha pra eleger Bolsonaro https://t.co/CkyKhJq4KQ",Bolsonaro,,,,,,,
"@Ticostacruz Fui de Ciro no primeiro, mas depois do massacre que fizeram com ele vou de Bolsonaro.","Ciro, Bolsonaro",,,,,,,
"@afranioboppre50 1 turno em Florianópolis:

Ao fim da apuração na cidade, Jair Bolsonaro, do PL, teve 45,67% dos votos para a Presidência (146.358 votos), enquanto Lula foi a escolha de 42,43% dos eleitores (135.981 votos) do município","@afranioboppre50, Florianópolis, Jair bolsonaro, Pl, Presidência, Lula",,PL,,florianópolis,,,
"SEM INVESTIGAÇÃO NÃO TEM CORRUPÇÃO:

BOLSONARO CORRUPTO, JANONES EU AUTORIZO @AndreJanonesAdv https://t.co/i9PRVqLdGU","Corrupto, Janones eu autorizo",,"SEM, INVESTIGAÇÃO, NÃO, TEM, CORRUPÇÃO, BOLSONARO, CORRUPTO, JANONES, EU, AUTORIZO",,,,autorizo,eu
"@Maufalavigna que já se alinharam ao FASCISMO -  Estadão /Folha atacando Lula e só tive *um retuitando* .
Coloquei um texto sobre isto aqui: ""A Folha faz editorial cobrando certas posições de Lula. Até agora não fez editorial nenhum cobrando posições de Bolsonaro . O veículo volta a flertar..","Fascismo, Estadão, Lula, Folha, Lula, Bolsonaro",,"FASCISMO, A, O",,,,"tive, coloquei",
"Muito orgulho desse patriota!
#GovernandoParaOPovo https://t.co/Qhr8pHxxra",,,,#GovernandoParaOPovo,,,,
"Bolsonaro respeita nossa sagrada liberdade de consciência e dá a vida, se for preciso,  por um Brasil  melhor, para  nós,  brasileiros. Unidos, vamos reelegê-lo! Bolsonaro 22 https://t.co/Q72W2Fg1Qs","Bolsonaro, Brasil, Unidos",,,,,,,nós
"@Ticostacruz @demori @cirogomes Mas há uma parte relevante que prefere votar no Bolsonaro! Quando isso acontece, temos que esquecê-los e ir em frente! Nada justifica","@cirogomes, Bolsonaro",,,,,,temos,
"Bolsonaro tem um projeto de levar a milícia dele para todo país, rio já está tomado, agora querem tomar sp, não se deixem enganar pelo falso caipira sem projeto candidato do Jair. 

Para governador vote 13, vote Haddad!","Bolsonaro, Sp, Jair, Haddad",,,,,,,
"@alexpermart @rosespindola46 @_Buarqueanos @LulaOficial eles não sabem mesmo não, uma vez discuti com um bolsominion, ele disse q votava só no bolsonaro pq ele é cristão, e disse q não queria um país comunista.
aí virei pra ele ""agora explica, oq é comunismo"", vou te mandar a resposta aq ó: https://t.co/3dPfz7nhMf","@alexpermart @rosespindola46 @_buarqueanos, Bolsonaro, Aq",,,,,,virei,te
@chrisassuncao Obs.: Eu juro que não apoio o Bolsonaro. 🥲 Eu só estou curiosa mesmo! Gosto de debates!,"@chrisassuncao obs, Bolsonaro",🥲,,,,,gosto,"eu, eu"
"O cara é tão bandido que acha que vai vencer a eleição, e já tá ameaçando o governador Zema, povo de Minas não deixa isso acontecer, dêem o troco nas urnas, continuem no caminho certo , vamos de Bolsonaro 22 https://t.co/IFofaHeqYn","Zema, Minas, Bolsonaro",,,,,,vamos,
"@jonesjohnnny @Jeferso43730941 @arrapato63 @reinaldoazevedo E você sabe o que é a extrema direita, o que faz Bolsonaro ser de extrema direita, por que a única ditadura que Brasil foi de extrema direita, explique.","@jonesjohnnny @jeferso43730941, Bolsonaro, Brasil",,E,,,,,
